country,state_province,city_area,area_extra,search_radius_km,business_category,keywords,language,currency,timezone,priority,min_rating,min_reviews,website_required,phone_required,email_required,max_leads,exclude_terms,output_columns,review_quality_filter,toggle_1,toggle_2,toggle_3,toggle_4,toggle_5
UK,England,London,,3,CrossFit Gym,crossfit; crossfit box; functional fitness,English,GBP,Europe/London,High,4.2,50,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Outdated; average; good; none,Yes,Yes,Yes,Yes,Yes
UK,England,London,,3,Boutique Fitness Studio,spin studio; HIIT studio; bootcamp fitness,English,GBP,Europe/London,High,4.2,50,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Outdated; average; good; none,Yes,Yes,Yes,Yes,Yes
UK,England,London,,3,Independent Gym,independent gym; local gym; fitness center,English,GBP,Europe/London,Medium,4.2,50,Either,Yes,No,50,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Outdated; average; good; none,Yes,Yes,Yes,Yes,Yes
UK,England,London,,3,Pilates Studio,pilates studio; reformer pilates,English,GBP,Europe/London,Low,4.2,50,Either,Yes,No,30,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Outdated; average; good; none,Yes,Yes,Yes,Yes,Yes
Canada,Ontario,Toronto,,15,Boxing/Kickboxing Gym,boxing gym; kickboxing; muay thai gym,English,CAD,America/Toronto,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
Canada,Ontario,Toronto,,15,CrossFit Gym,crossfit; crossfit box; functional fitness,English,CAD,America/Toronto,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
Canada,Ontario,Toronto,,15,Boutique Fitness Studio,spin studio; HIIT studio; bootcamp fitness,English,CAD,America/Toronto,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
Canada,Ontario,Toronto,,15,Independent Gym,independent gym; local gym; fitness center,English,CAD,America/Toronto,Medium,4.0,20,Either,Yes,No,50,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
Canada,Ontario,Toronto,,15,Pilates Studio,pilates studio; reformer pilates,English,CAD,America/Toronto,Low,4.0,20,Either,Yes,No,30,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
UAE,Dubai,Dubai,,20,Boxing/Kickboxing Gym,boxing gym; kickboxing; muay thai gym,English; Arabic,AED,Asia/Dubai,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
UAE,Dubai,Dubai,,20,CrossFit Gym,crossfit; crossfit box; functional fitness,English; Arabic,AED,Asia/Dubai,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
UAE,Dubai,Dubai,,20,Boutique Fitness Studio,spin studio; HIIT studio; bootcamp fitness,English; Arabic,AED,Asia/Dubai,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
UAE,Dubai,Dubai,,20,Independent Gym,independent gym; local gym; fitness center,English; Arabic,AED,Asia/Dubai,Medium,4.0,20,Either,Yes,No,50,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
UAE,Dubai,Dubai,,20,Pilates Studio,pilates studio; reformer pilates,English; Arabic,AED,Asia/Dubai,Low,4.0,20,Either,Yes,No,30,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
USA,California,Los Angeles,,15,Boxing/Kickboxing Gym,boxing gym; kickboxing; muay thai gym,English,USD,America/Los_Angeles,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
USA,California,Los Angeles,,15,CrossFit Gym,crossfit; crossfit box; functional fitness,English,USD,America/Los_Angeles,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
USA,California,Los Angeles,,15,Boutique Fitness Studio,spin studio; HIIT studio; bootcamp fitness,English,USD,America/Los_Angeles,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
USA,California,Los Angeles,,15,Independent Gym,independent gym; local gym; fitness center,English,USD,America/Los_Angeles,Medium,4.0,20,Either,Yes,No,50,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
USA,California,Los Angeles,,15,Pilates Studio,pilates studio; reformer pilates,English,USD,America/Los_Angeles,Low,4.0,20,Either,Yes,No,30,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
Australia,Victoria,Melbourne,,20,Boxing/Kickboxing Gym,boxing gym; kickboxing; muay thai gym,English,AUD,Australia/Melbourne,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,No,Yes,Yes,Yes
Australia,Victoria,Melbourne,,20,CrossFit Gym,crossfit; crossfit box; functional fitness,English,AUD,Australia/Melbourne,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,No,Yes,Yes,Yes
Australia,Victoria,Melbourne,,20,Boutique Fitness Studio,spin studio; HIIT studio; bootcamp fitness,English,AUD,Australia/Melbourne,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,No,Yes,Yes,Yes
Australia,Victoria,Melbourne,,20,Independent Gym,independent gym; local gym; fitness center,English,AUD,Australia/Melbourne,Medium,4.0,20,Either,Yes,No,50,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,No,Yes,Yes,Yes
Australia,Victoria,Melbourne,,20,Pilates Studio,pilates studio; reformer pilates,English,AUD,Australia/Melbourne,Low,4.0,20,Either,Yes,No,30,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,No,Yes,Yes,Yes
Singapore,,Singapore,,15,Boxing/Kickboxing Gym,boxing gym; kickboxing; muay thai gym,English,SGD,Asia/Singapore,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
Singapore,,Singapore,,15,CrossFit Gym,crossfit; crossfit box; functional fitness,English,SGD,Asia/Singapore,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
Singapore,,Singapore,,15,Boutique Fitness Studio,spin studio; HIIT studio; bootcamp fitness,English,SGD,Asia/Singapore,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
Singapore,,Singapore,,15,Independent Gym,independent gym; local gym; fitness center,English,SGD,Asia/Singapore,Medium,4.0,20,Either,Yes,No,50,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
Singapore,,Singapore,,15,Pilates Studio,pilates studio; reformer pilates,English,SGD,Asia/Singapore,Low,4.0,20,Either,Yes,No,30,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
